order_id,product_category,price_inr,discount_pct,payment_method,customer_tenure_days,num_previous_orders,num_previous_returns,delivery_distance_km,delivery_days,is_weekend_order,rating_given,returned
1,Footwear,2572.0,23.8,Prepaid_Card,17,3,0,604.6,1,0,2.0,0
2,Electronics,16689.0,6.7,COD,104,3,0,166.4,9,0,2.0,0
3,Footwear,800.0,51.3,Prepaid_Card,103,3,0,418.8,8,0,3.0,0
4,Home,7930.0,49.7,COD,1479,33,4,143.1,5,0,3.0,1
5,Apparel,715.0,0.0,COD,95,0,0,335.5,3,1,2.0,0
6,Beauty,750.0,24.7,Prepaid_Card,102,2,0,126.1,3,0,4.0,0
7,Footwear,1444.0,32.6,Prepaid_Card,14,1,0,355.1,5,1,3.0,0
8,Footwear,4132.0,28.6,Prepaid_UPI,459,11,1,191.3,8,0,4.0,0
9,Apparel,1775.0,44.7,Prepaid_UPI,656,16,0,169.9,10,1,1.0,1
10,Electronics,21231.0,41.6,Prepaid_UPI,231,8,1,194.1,4,0,3.0,1
11,Electronics,43048.0,26.0,Prepaid_UPI,146,3,0,228.8,4,1,5.0,0
12,Beauty,274.0,56.2,Prepaid_UPI,59,2,0,253.6,4,1,4.0,0
13,Home,7181.0,36.1,COD,46,0,0,104.3,5,1,,0
14,Footwear,742.0,16.7,Prepaid_Card,139,8,2,269.9,3,1,1.0,1
15,Electronics,18332.0,13.7,COD,908,19,2,88.0,2,0,5.0,0
16,Apparel,497.0,40.7,COD,17,2,0,384.8,4,0,1.0,1
17,Home,7992.0,10.1,COD,1207,26,2,281.2,5,1,3.0,0
18,Apparel,2046.0,15.9,Prepaid_UPI,25,0,0,280.9,8,1,4.0,0
19,Footwear,2839.0,18.4,Prepaid_UPI,1780,39,5,352.9,2,1,3.0,0
20,Home,1977.0,27.3,Wallet,22,0,0,286.7,7,0,2.0,0
21,Footwear,1607.0,19.1,Wallet,111,0,0,526.1,4,1,5.0,1
22,Electronics,20890.0,2.2,Prepaid_UPI,434,12,2,127.3,4,0,1.0,0
23,Beauty,909.0,39.4,COD,237,6,1,101.4,1,1,5.0,0
24,Footwear,585.0,15.9,Prepaid_UPI,170,2,0,536.1,5,0,1.0,0
25,Footwear,3125.0,52.3,Prepaid_UPI,2486,56,5,287.3,5,1,1.0,1
26,Apparel,1504.0,26.6,Prepaid_UPI,1238,29,5,305.5,9,0,3.0,0
27,Electronics,40809.0,41.0,COD,321,6,1,119.8,4,1,3.0,1
28,Apparel,1258.0,31.5,COD,113,3,0,296.3,8,1,3.0,1
29,Apparel,1020.0,41.7,Wallet,372,10,0,213.9,4,0,3.0,0
30,Home,4239.0,30.6,COD,86,0,0,332.6,4,0,,0
31,Footwear,1279.0,25.5,COD,158,5,1,236.0,1,1,2.0,0
32,Beauty,1620.0,38.4,Prepaid_Card,304,7,1,213.4,7,0,2.0,0
33,Electronics,34927.0,59.3,COD,309,11,3,237.6,5,1,5.0,0
34,Electronics,7922.0,18.0,COD,231,6,0,156.9,4,1,5.0,0
35,Electronics,15145.0,33.9,Wallet,1001,21,2,178.7,4,1,3.0,0
36,Apparel,1962.0,21.9,Prepaid_UPI,96,2,0,430.1,5,1,2.0,0
37,Apparel,1310.0,29.6,Wallet,341,12,4,300.4,3,0,3.0,0
38,Electronics,24494.0,22.6,COD,231,4,2,205.6,5,1,,1
39,Apparel,1700.0,0.0,COD,180,5,0,299.0,2,1,1.0,0
40,Home,4750.0,19.0,Prepaid_Card,9,0,0,273.8,4,1,2.0,0
41,Electronics,4248.0,37.0,Prepaid_Card,250,8,0,181.6,6,0,2.0,1
42,Footwear,3716.0,10.5,COD,258,8,1,157.0,8,1,3.0,0
43,Home,7406.0,35.8,Prepaid_UPI,1304,29,2,178.1,5,1,,0
44,Apparel,496.0,24.8,Wallet,387,8,3,394.2,7,1,5.0,0
45,Footwear,985.0,19.1,Prepaid_Card,158,3,1,204.9,4,0,5.0,0
46,Footwear,3308.0,35.6,COD,386,5,1,424.0,2,1,5.0,1
47,Electronics,27676.0,32.2,COD,23,1,0,168.9,9,0,1.0,0
48,Apparel,1089.0,28.3,COD,148,3,0,145.7,4,0,3.0,0
49,Home,4452.0,37.2,COD,135,1,0,211.5,7,0,,0
50,Apparel,1666.0,25.0,Prepaid_Card,299,3,0,263.8,3,0,3.0,0
51,Apparel,1308.0,0.0,Prepaid_Card,614,14,3,237.9,6,0,4.0,0
52,Apparel,652.0,16.3,Prepaid_Card,501,12,4,282.9,5,0,3.0,1
53,Footwear,858.0,0.0,Prepaid_UPI,228,6,0,287.9,4,1,4.0,0
54,Home,3679.0,31.9,COD,365,6,0,324.5,9,1,,0
55,Home,7406.0,35.4,COD,66,2,0,122.2,5,0,,1
56,Footwear,2731.0,36.1,COD,88,2,0,160.3,4,0,1.0,1
57,Electronics,16890.0,29.3,COD,366,10,1,246.1,8,1,,0
58,Home,7297.0,36.5,Prepaid_Card,51,0,0,182.0,1,0,5.0,0
59,Apparel,1100.0,0.0,Prepaid_UPI,106,5,0,212.8,1,0,3.0,0
60,Apparel,1316.0,20.4,Prepaid_UPI,281,9,3,228.2,6,0,4.0,0
61,Home,1197.0,0.8,Prepaid_Card,148,4,1,198.8,5,0,3.0,0
62,Electronics,33498.0,16.6,COD,100,3,0,180.2,3,0,3.0,0
63,Home,5692.0,46.2,COD,183,6,1,138.3,5,0,2.0,0
64,Footwear,3677.0,38.4,COD,169,2,0,202.7,7,1,4.0,0
65,Home,2804.0,31.9,COD,69,1,0,175.5,2,1,1.0,1
66,Home,3658.0,19.3,Prepaid_UPI,36,1,0,342.9,4,0,5.0,0
67,Home,1596.0,7.1,Prepaid_Card,584,17,0,305.8,5,1,4.0,0
68,Apparel,2136.0,24.8,COD,1009,20,3,120.8,5,0,2.0,0
69,Apparel,555.0,38.7,COD,871,23,1,490.9,6,0,4.0,0
70,Electronics,29627.0,28.1,COD,57,1,0,179.1,1,0,5.0,0
71,Apparel,1669.0,0.0,Wallet,732,16,2,99.6,6,0,1.0,0
72,Electronics,8109.0,23.6,COD,29,3,0,166.6,1,0,1.0,0
73,Footwear,1961.0,0.0,COD,99,6,1,90.0,4,1,3.0,0
74,Apparel,478.0,34.1,COD,231,6,1,98.1,2,1,,1
75,Apparel,1402.0,11.6,Prepaid_UPI,431,12,1,788.7,5,1,1.0,0
76,Apparel,2191.0,3.7,Prepaid_Card,48,0,0,334.5,6,0,1.0,0
77,Apparel,1174.0,34.3,Prepaid_Card,374,7,1,114.0,5,1,3.0,0
78,Home,7923.0,30.4,COD,536,9,2,76.4,3,1,,0
79,Home,1272.0,25.5,COD,6,0,0,212.0,2,1,,1
80,Footwear,2070.0,54.9,Prepaid_UPI,219,6,3,69.1,4,0,1.0,0
81,Home,7245.0,31.5,COD,437,10,1,206.6,4,1,3.0,0
82,Electronics,39599.0,12.3,COD,76,5,2,274.5,5,1,3.0,0
83,Footwear,1794.0,29.8,Prepaid_Card,1587,39,1,286.0,4,0,3.0,0
84,Apparel,1621.0,17.7,COD,40,1,0,113.3,8,0,1.0,1
85,Apparel,1995.0,41.0,COD,18,0,0,253.2,5,1,3.0,1
86,Apparel,1780.0,26.2,Prepaid_UPI,1214,29,7,386.0,7,1,1.0,0
87,Footwear,3014.0,27.7,Prepaid_Card,64,4,1,182.7,3,1,3.0,0
88,Electronics,7883.0,0.4,COD,837,19,4,109.8,6,0,4.0,0
89,Apparel,531.0,22.9,COD,295,8,1,177.6,6,1,,0
90,Electronics,28120.0,21.2,Prepaid_UPI,193,5,0,122.0,3,1,5.0,0
91,Apparel,1300.0,6.6,COD,1308,27,10,915.6,1,0,3.0,1
92,Home,2133.0,18.7,COD,768,15,0,350.7,7,1,4.0,0
93,Electronics,14023.0,28.5,Prepaid_Card,448,10,1,310.6,4,1,,1
94,Electronics,18373.0,21.9,Prepaid_Card,162,3,1,77.0,3,1,5.0,0
95,Apparel,1292.0,0.8,Wallet,954,22,3,92.8,4,0,2.0,0
96,Home,3305.0,17.9,COD,4,0,0,189.5,2,0,1.0,1
97,Electronics,18163.0,15.0,COD,223,2,0,171.8,6,0,3.0,0
98,Apparel,608.0,24.9,Prepaid_Card,171,0,0,151.3,4,0,3.0,1
99,Apparel,1958.0,23.3,Prepaid_Card,2,2,0,413.8,5,1,5.0,0
